2022-05-21,BTC-USD
Time,Price,UnixTime
00:00:02.106913Z,29154.96,1653091202.106913
00:00:06.856068Z,29154.43,1653091206.856068
00:00:11.852035Z,29158.75,1653091211.852035
00:00:16.761011Z,29165.09,1653091216.761011
00:00:22.983718Z,29167.89,1653091222.983718
00:00:27.590952Z,29167.89,1653091227.590952
00:00:33.101562Z,29167.89,1653091233.101562
00:00:38.315990Z,29167.86,1653091238.31599
00:00:43.355668Z,29164.73,1653091243.355668
00:00:46.935115Z,29151.37,1653091246.935115
00:00:53.076140Z,29143.34,1653091253.07614
00:00:57.038312Z,29144.81,1653091257.038312
00:01:02.684698Z,29137.92,1653091262.684698
00:01:08.526363Z,29144.32,1653091268.526363
00:01:13.378277Z,29141.66,1653091273.378277
00:01:18.765387Z,29144.79,1653091278.765387
00:01:24.010976Z,29137.24,1653091284.010976
00:01:28.834489Z,29139.67,1653091288.834489
00:01:33.906550Z,29137.84,1653091293.90655
00:01:38.278747Z,29141.66,1653091298.278747
00:01:43.485942Z,29147.56,1653091303.485942
00:01:49.171491Z,29141.66,1653091309.171491
00:01:53.388424Z,29141.65,1653091313.388424
00:01:59.309719Z,29145.86,1653091319.309719
00:02:02.347785Z,29150.5,1653091322.347785
00:02:08.212695Z,29148.3,1653091328.212695
00:02:12.780751Z,29148.31,1653091332.780751
00:02:18.014207Z,29143.88,1653091338.014207
00:02:22.698465Z,29154.05,1653091342.698465
00:02:28.745457Z,29162.95,1653091348.745457
00:02:32.730581Z,29166.85,1653091352.730581
00:02:39.042036Z,29163.75,1653091359.042036
00:02:43.247083Z,29163.79,1653091363.247083
00:02:49.771086Z,29151.41,1653091369.771086
00:02:54.108798Z,29128.96,1653091374.108798
00:02:58.683674Z,29131.62,1653091378.683674
00:03:04.735580Z,29123.93,1653091384.73558
00:03:07.777922Z,29122.14,1653091387.777922
00:03:13.961774Z,29114.88,1653091393.961774
00:03:18.176883Z,29120.91,1653091398.176883
00:03:24.130130Z,29117.29,1653091404.13013
00:03:30.127265Z,29113.64,1653091410.127265
00:03:34.234827Z,29113.13,1653091414.234827
00:03:40.185240Z,29112.43,1653091420.18524
00:03:44.210845Z,29112.43,1653091424.210845
00:03:49.634559Z,29113.14,1653091429.634559
00:03:54.325361Z,29128.41,1653091434.325361
00:03:59.404018Z,29128.77,1653091439.404018
00:04:03.768315Z,29150.14,1653091443.768315
00:04:09.385336Z,29152.47,1653091449.385336
00:04:14.049471Z,29147.78,1653091454.049471
00:04:20.248123Z,29134.19,1653091460.248123
00:04:24.961782Z,29132.11,1653091464.961782
00:04:30.050205Z,29134.41,1653091470.050205
00:04:34.166794Z,29134.92,1653091474.166794
00:04:39.678698Z,29133.09,1653091479.678698
00:04:45.579059Z,29135.13,1653091485.579059
00:04:48.421236Z,29145.13,1653091488.421236
00:04:55.254885Z,29144.74,1653091495.254885
00:04:58.401399Z,29144.74,1653091498.401399
00:05:05.161837Z,29141.72,1653091505.161837
00:05:10.407372Z,29145.08,1653091510.407372
00:05:15.836174Z,29142.7,1653091515.836174
00:05:20.738721Z,29142.71,1653091520.738721
00:05:25.366873Z,29143.05,1653091525.366873
00:05:30.786282Z,29141.31,1653091530.786282
00:05:34.745610Z,29147,1653091534.74561
00:05:39.877629Z,29151.93,1653091539.877629
00:05:46.146777Z,29167.89,1653091546.146777
00:05:49.808046Z,29172.57,1653091549.808046
00:05:55.941937Z,29174.84,1653091555.941937
00:05:58.464071Z,29175.12,1653091558.464071
00:06:04.828488Z,29171.9,1653091564.828488
00:06:09.209730Z,29172.55,1653091569.20973
00:06:15.900769Z,29172.55,1653091575.900769
00:06:19.799529Z,29166.4,1653091579.799529
00:06:24.806469Z,29160.37,1653091584.806469
00:06:31.417931Z,29160.37,1653091591.417931
00:06:34.814591Z,29165.39,1653091594.814591
00:06:40.878076Z,29164.98,1653091600.878076
00:06:46.294945Z,29164.99,1653091606.294945
00:06:50.173408Z,29162.96,1653091610.173408
00:06:56.680391Z,29164.84,1653091616.680391
00:06:59.450257Z,29167.69,1653091619.450257
00:07:06.837025Z,29167.35,1653091626.837025
00:07:11.509685Z,29167.35,1653091631.509685
00:07:16.609356Z,29171.25,1653091636.609356
00:07:20.783007Z,29172.18,1653091640.783007
00:07:26.605509Z,29177.63,1653091646.605509
00:07:31.576957Z,29177.17,1653091651.576957
00:07:35.744329Z,29170.16,1653091655.744329
00:07:39.760891Z,29172.68,1653091659.760891
00:07:45.837348Z,29181.96,1653091665.837348
00:07:51.956943Z,29190.43,1653091671.956943
00:07:56.210747Z,29186.91,1653091676.210747
00:08:01.912552Z,29187.5,1653091681.912552
00:08:05.947293Z,29187.4,1653091685.947293
00:08:11.910671Z,29187.4,1653091691.910671
00:08:16.230532Z,29188.46,1653091696.230532
00:08:22.346514Z,29189.01,1653091702.346514
00:08:25.877057Z,29190.33,1653091705.877057
00:08:31.712764Z,29190.33,1653091711.712764
00:08:36.851986Z,29198.54,1653091716.851986
00:08:40.851970Z,29200.9,1653091720.85197
00:08:46.811077Z,29204.49,1653091726.811077
00:08:50.511751Z,29199.85,1653091730.511751
00:08:56.618754Z,29199.24,1653091736.618754
00:09:02.017772Z,29198.31,1653091742.017772
00:09:07.446097Z,29197.17,1653091747.446097
00:09:12.205453Z,29197.09,1653091752.205453
00:09:17.213837Z,29196.95,1653091757.213837
00:09:22.781297Z,29204.88,1653091762.781297
00:09:25.457864Z,29202.59,1653091765.457864
00:09:32.580201Z,29205.36,1653091772.580201
00:09:36.825199Z,29204.1,1653091776.825199
00:09:42.432836Z,29185.19,1653091782.432836
00:09:47.957187Z,29184.84,1653091787.957187
00:09:52.460219Z,29189.45,1653091792.460219
00:09:58.083902Z,29198.79,1653091798.083902
00:10:01.617497Z,29198.13,1653091801.617497
00:10:07.935087Z,29201.33,1653091807.935087
00:10:11.806958Z,29190.67,1653091811.806958
00:10:18.149165Z,29195.24,1653091818.149165
